OSTUNI, FASANO, 7
FASANO, MONOPOLI, 1350
MONOPOLI, POLIGNANO A MARE, 1345
POLIGNANO A MARE, BARI CENTRALE, 1378
BARI CENTRALE, MOLFETTA, 15
MOLFETTA, BISCEGLIE, 8
BISCEGLIE, TRANI, 8
TRANI, BARLETTA, 10
BARLETTA, FOGGIA, 42
FOGGIA, SAN SEVERO, 1353
SAN SEVERO, TERMOLI, 1377
TERMOLI, VASTO S.SALVO, 1351
VASTO S.SALVO, PESCARA, 1380
PESCARA, GIULIANOVA, 1370
GIULIANOVA, S.BENEDETTO DEL TRONTO, 1350
S.BENEDETTO DEL TRONTO, PORTO S. GIORGIO FERMO, 1352
PORTO S. GIORGIO FERMO, CIVITANOVA MARCHE, 1347
CIVITANOVA MARCHE, ANCONA, 1361
ANCONA, SENIGALLIA, 1356
SENIGALLIA, FANO, 1350
FANO, PESARO, 1345
PESARO, RICCIONE, 1358
RICCIONE, RIMINI, 1346
RIMINI, CESENA, 1357
CESENA, FORLI`, 1349
FORLI`, FAENZA, 1347
FAENZA, BOLOGNA C.LE, 1375
MILANO ROGOREDO, MILANO PORTA GARIBALDI, 1361
MILANO CENTRALE, PAVIA, 28
PAVIA, VOGHERA, 17
VOGHERA, GENOVA P.PRINCIPE, 53
GENOVA P.PRINCIPE, GENOVA BRIGNOLE, 9
GENOVA BRIGNOLE, S. MARGHERITA LIGURE PORTOFINO, 24
S. MARGHERITA LIGURE PORTOFINO, RAPALLO, 5
RAPALLO, CHIAVARI, 9
CHIAVARI, LAVAGNA, 5
LAVAGNA, SESTRI LEVANTE, 7
SESTRI LEVANTE, LEVANTO, 20
LEVANTO, MONTEROSSO, 6
MONTEROSSO, LA SPEZIA CENTRALE, 27
LATINA, ROMA OSTIENSE, 41
ROMA OSTIENSE, ROMA S.PIETRO, 8
ROMA S.PIETRO, CIVITAVECCHIA, 33
CIVITAVECCHIA, ORBETELLO, 40
ORBETELLO, GROSSETO, 19
GROSSETO, FOLLONICA, 20
FOLLONICA, CAMPIGLIA MARITTIMA, 12
CAMPIGLIA MARITTIMA, CECINA, 32
CECINA, LIVORNO CENTRALE, 24
LIVORNO CENTRALE, PISA CENTRALE, 16
PISA CENTRALE, VIAREGGIO, 20
VIAREGGIO, MASSA CENTRO, 16
MASSA CENTRO, CARRARA AVENZA, 8
CARRARA AVENZA, SARZANA, 15
SARZANA, LA SPEZIA CENTRALE, 19
LA SPEZIA CENTRALE, MONTEROSSO, 27
MONTEROSSO, LEVANTO, 7
LEVANTO, SESTRI LEVANTE, 22
TORINO P.NUOVA, TORINO LINGOTTO, 5
TORINO LINGOTTO, ASTI, 30
ASTI, ALESSANDRIA, 25
ALESSANDRIA, TORTONA, 21
TORTONA, VOGHERA, 8
VOGHERA, PIACENZA, 35
PIACENZA, BOLOGNA C.LE, 76
BOLOGNA C.LE, RIMINI, 112
RIMINI, ANCONA, 54
ANCONA, PESCARA, 90
PESCARA, TERMOLI, 71
TERMOLI, FOGGIA, 61
FOGGIA, BARLETTA, 41
BARLETTA, BARI CENTRALE, 52
BARI CENTRALE, MONOPOLI, 44
MONOPOLI, FASANO, 12
FASANO, OSTUNI, 16
OSTUNI, BRINDISI, 29
BRINDISI, LECCE, 33
RIMINI, FAENZA, 106
ROMA TERMINI, LATINA, 52
LATINA, FORMIA-GAETA, 38
FORMIA-GAETA, AVERSA, 37
AVERSA, NAPOLI CENTRALE, 17
NAPOLI CENTRALE, SALERNO, 61
SALERNO, SAPRI, 60
SAPRI, PAOLA, 45
PAOLA, LAMEZIA TERME CENTRALE, 18
LAMEZIA TERME CENTRALE, GIOIA TAURO, 26
VILLA SAN GIOVANNI, MESSINA CENTRALE, 79
GENOVA BRIGNOLE, GENOVA P.PRINCIPE, 9
GENOVA P.PRINCIPE, NOVI LIGURE, 38
NOVI LIGURE, ALESSANDRIA, 13
ALESSANDRIA, ASTI, 1373
ASTI, TORINO LINGOTTO, 1383
TORINO LINGOTTO, TORINO P.NUOVA, 1357
LA SPEZIA CENTRALE, SARZANA, 12
SARZANA, CARRARA AVENZA, 8
CARRARA AVENZA, MASSA CENTRO, 13
MASSA CENTRO, VIAREGGIO, 13
VIAREGGIO, PISA CENTRALE, 18
PISA CENTRALE, LIVORNO CENTRALE, 21
LIVORNO CENTRALE, CECINA, 39
CECINA, CAMPIGLIA MARITTIMA, 8
CAMPIGLIA MARITTIMA, FOLLONICA, -10
FOLLONICA, GROSSETO, 23
GROSSETO, ORBETELLO, 19
ORBETELLO, CIVITAVECCHIA, 40
CIVITAVECCHIA, ROMA OSTIENSE, 31
ROMA OSTIENSE, LATINA, 33
ALESSANDRIA, NOVI LIGURE, 14
NOVI LIGURE, GENOVA P.PRINCIPE, 48
GENOVA P.PRINCIPE, ALESSANDRIA, 1408
VENTIMIGLIA, BORDIGHERA, 5
BORDIGHERA, SANREMO, 10
SANREMO, TAGGIA ARMA, 6
TAGGIA ARMA, IMPERIA, 10
IMPERIA, DIANO, 6
DIANO, ALASSIO, 10
ALASSIO, ALBENGA, 9
ALBENGA, FINALE LIGURE MARINA, 17
FINALE LIGURE MARINA, SAVONA, 14
SAVONA, GENOVA P.PRINCIPE, 34
GENOVA BRIGNOLE, RAPALLO, 25
CHIAVARI, SESTRI LEVANTE, 7
SESTRI LEVANTE, LA SPEZIA CENTRALE, 45
LA SPEZIA CENTRALE, MASSA CENTRO, 28
CECINA, FOLLONICA, 19
GROSSETO, CIVITAVECCHIA, 44
ROMA OSTIENSE, ROMA TERMINI, -4
ROMA TERMINI, ROMA OSTIENSE, 8
ROMA OSTIENSE, CIVITAVECCHIA, 63
CIVITAVECCHIA, GROSSETO, 51
CAMPIGLIA MARITTIMA, LIVORNO CENTRALE, 1403
CARRARA AVENZA, LA SPEZIA CENTRALE, 19
LA SPEZIA CENTRALE, SESTRI LEVANTE, 27
SESTRI LEVANTE, CHIAVARI, 7
CHIAVARI, RAPALLO, 9
RAPALLO, GENOVA BRIGNOLE, 33
ALESSANDRIA, GENOVA P.PRINCIPE, 53
LA SPEZIA CENTRALE, CARRARA AVENZA, 20
LIVORNO CENTRALE, CAMPIGLIA MARITTIMA, 21
FOLLONICA, CECINA, 29
MASSA CENTRO, LA SPEZIA CENTRALE, 30
GENOVA P.PRINCIPE, SAVONA, 46
SAVONA, FINALE LIGURE MARINA, 6
FINALE LIGURE MARINA, ALBENGA, 7
ALBENGA, ALASSIO, -3
ALASSIO, DIANO, -1
DIANO, IMPERIA, 7
IMPERIA, TAGGIA ARMA, 11
TAGGIA ARMA, SANREMO, 7
SANREMO, BORDIGHERA, 11
BORDIGHERA, VENTIMIGLIA, 2
PERUGIA, PERUGIA PONTE S.GIOVANNI, 8
PERUGIA PONTE S.GIOVANNI, ASSISI, 7
ASSISI, FOLIGNO, 9
FOLIGNO, SPOLETO, 16
SPOLETO, TERNI, 28
TERNI, ORTE, 21
ORTE, ROMA TIBURTINA, 43
ROMA TIBURTINA, ROMA TERMINI, 23
ANCONA, FALCONARA MARITTIMA, 7
FALCONARA MARITTIMA, JESI, 13
JESI, FABRIANO, 35
FABRIANO, FOSSATO DI VICO GUBBIO, 19
FOSSATO DI VICO GUBBIO, FOLIGNO, 47
ROMA TERMINI, ROMA TIBURTINA, 9
ROMA TIBURTINA, ORTE, 29
ORTE, TERNI, 19
TERNI, SPOLETO, 30
SPOLETO, FOLIGNO, 22
FOLIGNO, FOSSATO DI VICO GUBBIO, 34
FOSSATO DI VICO GUBBIO, FABRIANO, 15
FABRIANO, JESI, 33
JESI, FALCONARA MARITTIMA, 21
FALCONARA MARITTIMA, ANCONA, 18
FOLIGNO, ASSISI, 11
ASSISI, PERUGIA PONTE S.GIOVANNI, 4
PERUGIA PONTE S.GIOVANNI, PERUGIA, 5
REGGIO CALABRIA CENTRALE, REGGIO CALABRIA LIDO, 3
REGGIO CALABRIA LIDO, VILLA SAN GIOVANNI, 15
PAOLA, SCALEA S.DOMENICA TALAO, 28
SCALEA S.DOMENICA TALAO, MARATEA, 17
MARATEA, SAPRI, 10
SAPRI, VALLO DELLA LUC. CASTELNUOVO, 35
VALLO DELLA LUC. CASTELNUOVO, CAPACCIO ROCCADASPIDE, 21
CAPACCIO ROCCADASPIDE, BATTIPAGLIA, 12
BATTIPAGLIA, SALERNO, 15
BATTIPAGLIA, PAESTUM, 12
PAESTUM, AGROPOLI CASTELLABATE, 10
VALLO DELLA LUC. CASTELNUOVO, PISCIOTTA PALINURO, -22
VILLA SAN GIOVANNI, REGGIO CALABRIA CENTRALE, 19
